Time [us] - histogram,Counts - histogram
0.105,4
0.115,9
0.125,35
0.135,44
0.145,29
0.155,30
0.165,31
0.175,38
0.185,30
0.195,34
0.205,37
0.215,28
0.225,29
0.235,31
0.245,25
0.255,29
0.265,34
0.275,28
0.285,34
0.295,30
0.305,36
0.315,34
0.325,35
0.335,31
0.345,26
0.355,27
0.365,29
0.375,26
0.385,32
0.395,22
0.405,30
0.415,31
0.425,28
0.435,24
0.445,23
0.455,23
0.465,22
0.475,19
0.485,24
0.495,33
0.505,23
0.515,22
0.525,24
0.535,27
0.545,26
0.555,21
0.565,16
0.575,28
0.585,31
0.595,31
0.605,30
0.615,24
0.625,21
0.635,24
0.645,20
0.655,33
0.665,19
0.675,27
0.685,25
0.695,26
0.705,18
0.715,22
0.725,19
0.735,33
0.745,27
0.755,31
0.765,18
0.775,21
0.785,11
0.795,19
0.805,14
0.815,19
0.825,20
0.835,23
0.845,25
0.855,24
0.865,25
0.875,24
0.885,24
0.895,28
0.905,20
0.915,22
0.925,18
0.935,23
0.945,21
0.955,18
0.965,28
0.975,17
0.985,24
0.995,22
1.005,14
1.015,16
1.025,18
1.035,17
1.045,22
1.055,29
1.065,24
1.075,25
1.085,13
1.095,17
1.105,13
1.115,18
1.125,20
1.135,17
1.145,10
1.155,25
1.165,15
1.175,22
1.185,19
1.195,17
1.205,16
1.215,30
1.225,22
1.235,15
1.245,16
1.255,18
1.265,19
1.275,18
1.285,21
1.295,22
1.305,15
1.315,14
1.325,23
1.335,18
1.345,23
1.355,14
1.365,16
1.375,17
1.385,18
1.395,14
1.405,19
1.415,10
1.425,7
1.435,17
1.445,15
1.455,16
1.465,10
1.475,16
1.485,13
1.495,14
1.505,22
1.515,14
1.525,13
1.535,12
1.545,13
1.555,18
1.565,19
1.575,12
1.585,14
1.595,14
1.605,19
1.615,16
1.625,15
1.635,21
1.645,9
1.655,16
1.665,14
1.675,14
1.685,7
1.695,16
1.705,7
1.715,22
1.725,9
1.735,17
1.745,10
1.755,20
1.765,14
1.775,8
1.785,14
1.795,13
1.805,11
1.815,14
1.825,16
1.835,10
1.845,17
1.855,11
1.865,12
1.875,12
1.885,7
1.895,7
1.905,12
1.915,15
1.925,18
1.935,13
1.945,13
1.955,12
1.965,15
1.975,19
1.985,7
1.995,15
2.005,12
2.015,17
2.025,17
2.035,16
2.045,14
2.055,18
2.065,13
2.075,11
2.085,12
2.095,17
2.105,14
2.115,11
2.125,16
2.135,10
2.145,9
2.155,6
2.165,11
2.175,13
2.185,8
2.195,7
2.205,11
2.215,6
2.225,13
2.235,10
2.245,10
2.255,12
2.265,10
2.275,10
2.285,12
2.295,15
2.305,11
2.315,8
2.325,6
2.335,11
2.345,8
2.355,12
2.365,8
2.375,10
2.385,12
2.395,9
2.405,15
2.415,8
2.425,8
2.435,11
2.445,13
2.455,8
2.465,9
2.475,8
2.485,9
2.495,9
2.505,6
2.515,6
2.525,10
2.535,16
2.545,13
2.555,6
2.565,9
2.575,7
2.585,10
2.595,11
2.605,10
2.615,7
2.625,12
2.635,11
2.645,12
2.655,9
2.665,7
2.675,8
2.685,8
2.695,10
2.705,7
2.715,12
2.725,9
2.735,9
2.745,5
2.755,8
2.765,6
2.775,10
2.785,7
2.795,8
2.805,5
2.815,10
2.825,8
2.835,10
2.845,8
2.855,9
2.865,12
2.875,7
2.885,6
2.895,9
2.905,12
2.915,8
2.925,6
2.935,9
2.945,8
2.955,10
2.965,12
2.975,4
2.985,9
2.995,3
3.005,7
3.015,11
3.025,11
3.035,10
3.045,4
3.055,6
3.065,7
3.075,8
3.085,7
3.095,2
3.105,7
3.115,3
3.125,11
3.135,7
3.145,11
3.155,11
3.165,7
3.175,7
3.185,7
3.195,7
3.205,5
3.215,6
3.225,7
3.235,5
3.245,4
3.255,8
3.265,7
3.275,8
3.285,4
3.295,6
3.305,3
3.315,3
3.325,4
3.335,9
3.345,11
3.355,3
3.365,8
3.375,4
3.385,9
3.395,6
3.405,7
3.415,5
3.425,7
3.435,7
3.445,8
3.455,7
3.465,5
3.475,3
3.485,4
3.495,4
3.505,8
3.515,6
3.525,6
3.535,1
3.545,9
3.555,7
3.565,6
3.575,4
3.585,9
3.595,12
3.605,2
3.615,8
3.625,9
3.635,5
3.645,5
3.655,7
3.665,3
3.675,12
3.685,6
3.695,6
3.705,8
3.715,2
3.725,9
3.735,9
3.745,9
3.755,6
3.765,5
3.775,5
3.785,4
3.795,3
3.805,9
3.815,9
3.825,3
3.835,4
3.845,4
3.855,5
3.865,6
3.875,7
3.885,6
3.895,6
3.905,5
3.915,3
3.925,10
3.935,3
3.945,6
3.955,4
3.965,3
3.975,6
3.985,3
3.995,5
4.005,1
4.015,5
4.025,3
4.035,10
4.045,5
4.055,4
4.065,4
4.075,5
4.085,7
4.095,6
4.105,6
4.115,2
4.125,4
4.135,4
4.145,3
4.155,2
4.165,4
4.175,5
4.185,4
4.195,1
4.205,3
4.215,1
4.225,2
4.235,3
4.245,2
4.255,5
4.265,3
4.275,3
4.285,4
4.295,2
4.305,5
4.315,7
4.325,4
4.335,5
4.345,4
4.355,7
4.365,4
4.375,7
4.385,1
4.395,2
4.405,3
4.415,6
4.425,3
4.435,2
4.445,5
4.455,2
4.465,2
4.475,4
4.485,4
4.495,1
4.505,4
4.515,2
4.525,3
4.535,2
4.545,2
4.555,4
4.565,6
4.575,1
4.585,2
4.595,2
4.605,6
4.615,1
4.625,5
4.635,3
4.645,3
4.655,1
4.665,5
4.675,4
4.685,3
4.695,6
4.705,5
4.715,3
4.725,7
4.735,4
4.745,3
4.755,1
4.765,2
4.775,3
4.785,3
4.795,3
4.805,4
4.815,1
4.825,3
4.835,4
4.845,5
4.855,5
4.865,2
4.875,5
4.885,0
4.895,3
4.905,2
4.915,7
4.925,6
4.935,0
4.945,4
4.955,3
4.965,3
4.975,2
4.985,6
4.995,3
5.005,2
5.015,2
5.025,3
5.035,3
5.045,3
5.055,1
5.065,2
5.075,4
5.085,3
5.095,3
5.105,1
5.115,1
5.125,4
5.135,4
5.145,4
5.155,3
5.165,0
5.175,3
5.185,4
5.195,1
5.205,6
5.215,9
5.225,5
5.235,4
5.245,4
5.255,5
5.265,3
5.275,4
5.285,6
5.295,3
5.305,3
5.315,1
5.325,1
5.335,2
5.345,3
5.355,2
5.365,5
5.375,4
5.385,2
5.395,4
5.405,5
5.415,4
5.425,3
