Time [ns] - histogram,Counts - histogram
-35,0
-34.5,0
-34,0
-33.5,0
-33,0
-32.5,0
-32,0
-31.5,0
-31,0
-30.5,0
-30,0
-29.5,0
-29,0
-28.5,0
-28,0
-27.5,0
-27,0
-26.5,0
-26,0
-25.5,0
-25,0
-24.5,0
-24,0
-23.5,0
-23,0
-22.5,0
-22,0
-21.5,0
-21,0
-20.5,0
-20,1
-19.5,0
-19,0
-18.5,0
-18,1
-17.5,1
-17,0
-16.5,0
-16,0
-15.5,0
-15,0
-14.5,0
-14,0
-13.5,1
-13,0
-12.5,2
-12,1
-11.5,1
-11,0
-10.5,1
-10,2
-9.5,2
-9,0
-8.5,1
-8,0
-7.5,0
-7,2
-6.5,3
-6,4
-5.5,2
-5,2
-4.5,4
-4,5
-3.5,11
-3,5
-2.5,9
-2,14
-1.5,10
-1,11
-0.5,17
0,10
0.5,28
1,26
1.5,39
2,38
2.5,49
3,75
3.5,81
4,113
4.5,114
5,178
5.5,241
6,334
6.5,415
7,474
7.5,585
8,552
8.5,387
9,309
9.5,267
10,189
10.5,143
11,105
11.5,88
12,76
12.5,59
13,49
13.5,35
14,21
14.5,30
15,24
15.5,21
16,10
16.5,10
17,7
17.5,6
18,5
18.5,9
19,3
19.5,1
20,2
20.5,0
21,0
21.5,1
22,0
22.5,0
23,0
23.5,2
24,0
24.5,1
25,1
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,0
32.5,0
33,0
33.5,0
34,0
34.5,0
35,0
